algorithm,map_index,agent_num,episode,success,collision,timeout,steps,reward,path_distance,elapsed_time,avg_step_time
ppo_abc,0,10,0,True,False,False,149,-6782.0,7152.629617743813,123.34318685531616,0.7970402960809285
ppo_abc,0,10,1,True,False,False,172,-7160.0,7650.4636783086435,128.1537218093872,0.7144535960153092
ppo_abc,0,10,2,True,False,False,97,-2876.0,4211.0238941274665,65.77850699424744,0.6479971703794813
ppo_abc,0,10,3,True,False,False,116,-4098.0,4685.660019018824,87.29157495498657,0.7227233483873564
ppo_abc,0,10,4,True,False,False,122,-3594.0,5117.666727482803,80.79531407356262,0.6309601088039211
ppo_abc,0,10,5,False,False,True,200,-8946.0,7815.12554425806,146.91439080238342,0.7037078809738159
ppo_abc,0,10,6,False,False,True,200,-6622.0,6046.707046499431,117.65106439590454,0.5577206516265869
ppo_abc,0,10,7,False,False,True,200,-6782.0,6729.329672033362,125.40728664398193,0.5964457714557647
ppo_abc,0,10,8,False,False,True,200,-5890.0,5793.587321558694,110.64766836166382,0.522341411113739
ppo_abc,0,10,9,False,False,True,200,-7134.0,6911.692705667991,135.78868198394775,0.6488381922245026
abc,0,10,0,False,True,True,200,-12318.0,9127.663066881152,138.0794551372528,0.6903885805606842
abc,0,10,1,False,False,True,200,-8568.0,7708.269198192811,117.62065958976746,0.588093683719635
abc,0,10,2,True,False,False,200,-7678.0,6627.67745527458,107.652996301651,0.5382552111148834
abc,0,10,3,False,False,True,200,-11386.0,8528.931647360632,139.73330235481262,0.6986573648452759
abc,0,10,4,False,False,True,200,-13816.0,9654.150257881825,161.56919312477112,0.8078368508815765
abc,0,10,5,False,False,True,200,-11486.0,8901.975010458968,141.29501628875732,0.7064656019210815
abc,0,10,6,False,False,True,200,-11138.0,7861.649623949706,137.63182520866394,0.6881502294540405
abc,0,10,7,False,False,True,200,-9668.0,8347.695251477102,128.12964987754822,0.6406393778324128
abc,0,10,8,False,False,True,200,-8144.0,7133.643577536649,110.67413759231567,0.5533617496490478
abc,0,10,9,False,False,True,200,-10734.0,8619.582158276595,136.62471389770508,0.6831144082546234
pso,0,10,0,False,False,True,200,-20000.0,0.0,369.89474725723267,1.8494641065597535
pso,0,10,1,False,False,True,200,-20000.0,0.0,366.4682538509369,1.8323317277431488
pso,0,10,2,False,False,True,200,-20000.0,0.0,371.7593095302582,1.8587882173061372
pso,0,10,3,False,False,True,200,-20000.0,0.0,369.65587615966797,1.8482717096805572
pso,0,10,4,False,False,True,200,-20000.0,0.0,369.4638090133667,1.8473112463951111
pso,0,10,5,False,False,True,200,-20000.0,0.0,369.0734281539917,1.8453594076633453
pso,0,10,6,False,False,True,200,-20000.0,0.0,369.2197358608246,1.846090679168701
pso,0,10,7,False,False,True,200,-12778.0,4826.936630684495,289.08446979522705,1.4454143822193146
pso,0,10,8,False,False,True,200,-7068.0,4540.938250170274,198.6551308631897,0.9932671928405762
pso,0,10,9,False,False,True,200,-11248.0,5603.445917198691,276.1718170642853,1.3808510518074035
cpso,0,10,0,False,False,True,200,-20000.0,0.0,455.847416639328,2.279228957891464
cpso,0,10,1,False,False,True,200,-20000.0,0.0,443.0680778026581,2.2153320896625517
cpso,0,10,2,False,False,True,200,-20000.0,0.0,437.31653809547424,2.1865745866298676
cpso,0,10,3,False,False,True,200,-20000.0,0.0,448.00249099731445,2.240004531145096
cpso,0,10,4,False,False,True,200,-20000.0,0.0,440.3782014846802,2.201882857084274
cpso,0,10,5,False,False,True,200,-20000.0,0.0,446.15720677375793,2.230777952671051
cpso,0,10,6,False,False,True,200,-20000.0,0.0,424.57191348075867,2.1228513395786286
cpso,0,10,7,False,False,True,200,-15300.0,3546.714170506875,390.67624735832214,1.9533730745315552
cpso,0,10,8,False,False,True,200,-10334.0,4214.151689199182,291.1617007255554,1.455800288915634
cpso,0,10,9,False,False,True,200,-11814.0,5538.46181685388,341.3228979110718,1.706606341600418
abcl,0,10,0,False,False,True,200,-11194.0,9708.914504931192,153.51169681549072,0.7675514447689057
abcl,0,10,1,False,True,True,200,-11946.0,7902.105539365197,120.53877401351929,0.6026869881153106
abcl,0,10,2,True,False,False,136,-5790.0,6295.407465977057,92.72698879241943,0.6818088994306677
abcl,0,10,3,False,False,True,200,-7786.0,7455.337884612989,117.35764956474304,0.5867804288864136
abcl,0,10,4,True,False,False,182,-6890.0,7338.724711236111,110.46066093444824,0.6069191065463391
abcl,0,10,5,False,False,True,200,-10390.0,9093.560308208016,142.21286296844482,0.7110568380355835
abcl,0,10,6,False,False,True,200,-7648.0,7007.6792102426425,114.93461298942566,0.5746662604808808
abcl,0,10,7,False,False,True,200,-9380.0,8990.647401450951,138.86796975135803,0.6943330526351928
abcl,0,10,8,False,True,True,200,-9814.0,4997.210975594366,84.62017869949341,0.42309345364570616
abcl,0,10,9,False,False,True,200,-10118.0,9446.971427898286,145.51923322677612,0.7275889253616333
ppo_abc,1,10,0,False,True,False,107,-5140.0,5045.935263096377,73.30773162841797,0.6560630018465987
ppo_abc,1,10,1,True,False,False,167,-4068.0,5118.600296705272,77.39326071739197,0.43473909143916145
ppo_abc,1,10,2,False,False,True,200,-5656.0,5699.831041424742,111.95458173751831,0.5312340390682221
ppo_abc,1,10,3,True,False,False,107,-2982.0,4517.342401308446,73.43189859390259,0.6566973512417802
ppo_abc,1,10,4,True,False,False,139,-5056.0,6582.99863341292,103.83845949172974,0.7176145804014137
ppo_abc,1,10,5,True,False,False,119,-5080.0,5713.967622718936,88.25181317329407,0.712124880622415
ppo_abc,1,10,6,True,False,False,106,-3078.0,4376.6493807303295,59.6590735912323,0.5331546315607035
ppo_abc,1,10,7,True,False,False,115,-5010.0,5867.716619778179,80.9077980518341,0.6757340887318487
