algorithm,map_index,agent_num,episodes,success_rate,collision_rate,timeout_rate,mean_reward,mean_steps,mean_path_distance,mean_elapsed_time,mean_strategy_1,mean_strategy_2,mean_strategy_3
ppo_abc,0,10,10,0.5,0.0,0.5,-5988.4,165.6,6211.388622669909,112.17713968753814,nan,nan,nan
abc,0,10,10,0.1,0.1,0.9,-10493.6,200.0,8251.123724729003,131.90109493732453,nan,nan,nan
pso,0,10,10,0.0,0.0,1.0,-17109.4,200.0,1497.132079805346,334.94465775489806,nan,nan,nan
cpso,0,10,10,0.0,0.0,1.0,-17744.8,200.0,1329.9327676559938,411.8502691268921,nan,nan,nan
abcl,0,10,10,0.2,0.2,0.8,-9095.6,191.8,7823.655942951681,122.07506277561188,nan,nan,nan
ppo_abc,1,10,10,0.7,0.1,0.2,-4421.6,139.7,5273.999983081215,83.30685772895814,nan,nan,nan
abc,1,10,10,0.2,0.4,0.5,-10556.4,193.2,7784.105318602327,121.96295020580291,nan,nan,nan
pso,1,10,10,0.2,0.0,0.8,-9457.0,186.2,3591.200324531278,214.0877760887146,nan,nan,nan
cpso,1,10,10,0.4,0.0,0.6,-9069.8,169.6,3574.40987429705,260.3379255056381,nan,nan,nan
abcl,1,10,10,0.9,0.0,0.1,-5921.2,161.1,6606.478174424692,82.55252151489258,nan,nan,nan
ppo_abc,2,10,10,0.0,0.0,1.0,-5813.6,200.0,5659.302753573547,140.06973600387573,nan,nan,nan
abc,2,10,10,0.1,0.2,0.9,-10779.4,195.0,7765.496294367297,159.69048891067504,nan,nan,nan
pso,2,10,10,0.0,0.0,1.0,-14922.8,200.0,2088.124056482283,411.5029599189758,nan,nan,nan
cpso,2,10,10,0.0,0.0,1.0,-17943.8,200.0,1355.5912000014282,579.3309670448303,nan,nan,nan
abcl,2,10,10,0.1,0.1,0.8,-6670.8,184.6,6408.362330974327,128.87322380542756,nan,nan,nan
