suite,algorithm,map_index,agent_num,episode,success,collision,timeout,steps,reward,path_distance,elapsed_time,avg_step_time,device
compare,ppo_abc,0,5,0,False,False,True,200,40554.0,6043.003535270691,45.10951383900829,0.22554406117182224,cuda:0
compare,ppo_abc,0,5,1,False,False,True,200,65090.0,6634.868608474731,45.268827446969226,0.22634027594001963,cuda:0
compare,ppo_abc,0,5,2,False,False,True,200,61484.0,6847.259223937988,45.06025095493533,0.22529736505355685,cuda:0
compare,ppo_abc,0,5,3,False,False,True,200,45246.0,6387.219197273254,43.69467048509978,0.21846981775481253,cuda:0
compare,ppo_abc,0,5,4,False,False,True,200,63498.0,6231.299311637878,44.803014494944364,0.22401161569636316,cuda:0
compare,ppo_abc,0,5,5,True,False,False,63,8832.0,2746.276866912842,13.578446453204378,0.21552624899361814,cuda:0
compare,ppo_abc,0,5,6,False,False,True,200,57844.0,6586.904767036438,44.296542410040274,0.22147923146607354,cuda:0
compare,ppo_abc,0,5,7,True,False,False,75,13944.0,3103.80389213562,16.19306477205828,0.21590324117802084,cuda:0
compare,ppo_abc,0,5,8,True,False,False,100,18384.0,3887.8784732818604,21.737443944904953,0.21737047309754418,cuda:0
compare,ppo_abc,0,5,9,False,False,True,200,59946.0,6126.368363380432,45.38079574191943,0.2268999751424417,cuda:0
compare,ppo_abc,1,5,0,False,False,True,200,70366.0,6209.304644584656,50.7021218908485,0.2535069364646915,cuda:0
compare,ppo_abc,1,5,1,True,False,False,65,7688.0,2851.690143585205,15.592751753050834,0.23988384000527171,cuda:0
compare,ppo_abc,1,5,2,True,False,False,78,12740.0,3093.2647819519043,18.817143245134503,0.24124061889373338,cuda:0
compare,ppo_abc,1,5,3,False,False,True,200,54698.0,7005.410676956177,50.02470797998831,0.2501197777909692,cuda:0
compare,ppo_abc,1,5,4,False,False,True,200,60634.0,6690.726154327393,54.51315485103987,0.27256175617687406,cuda:0
compare,ppo_abc,1,5,5,False,False,True,200,61502.0,6678.422569274902,55.58639498683624,0.27792810124927203,cuda:0
compare,ppo_abc,1,5,6,False,False,True,200,69002.0,6021.185854911804,50.024743172107264,0.2501202747656498,cuda:0
compare,ppo_abc,1,5,7,False,False,True,200,63842.0,5859.369397163391,49.364047677023336,0.24681643735733816,cuda:0
compare,ppo_abc,1,5,8,False,False,True,200,55648.0,5267.6347188949585,50.20937111810781,0.25104316987446507,cuda:0
compare,ppo_abc,1,5,9,False,False,True,200,56632.0,6360.556161880493,50.02007777686231,0.250096520234365,cuda:0
compare,ppo_abc,2,5,0,True,False,False,74,13032.0,3017.9510536193848,15.988759970990941,0.21605999601652492,cuda:0
compare,ppo_abc,2,5,1,False,False,True,200,50376.0,6615.355335235596,44.20996417105198,0.2210461514769122,cuda:0
compare,ppo_abc,2,5,2,False,False,True,200,28022.0,5630.10958480835,43.86346942698583,0.219313411207404,cuda:0
compare,ppo_abc,2,5,3,False,False,True,200,58978.0,6508.596141815186,44.3927967119962,0.22196026421850548,cuda:0
compare,ppo_abc,2,5,4,False,False,True,200,54254.0,6417.180552482605,44.036994840949774,0.22018124592141247,cuda:0
compare,ppo_abc,2,5,5,True,False,False,56,11302.0,2398.3115196228027,12.02304349001497,0.21469243628754547,cuda:0
compare,ppo_abc,2,5,6,False,False,True,200,46746.0,6126.467864990234,44.25916155008599,0.22129211218445563,cuda:0
