suite,algorithm,map_index,agent_num,episodes,success_rate,collision_rate,timeout_rate,mean_reward,mean_steps,mean_path_distance,mean_elapsed_time,mean_step_time
ablation,fixed_iabc,0,5,10,0.3,0.0,0.7,43487.0,163.8,5491.745675373078,34.67609788891859,0.2109471134210307
ablation,fixed_iabc,0,10,10,0.0,0.0,1.0,94830.0,200.0,12374.858535766602,41.71770464128349,0.2085852426321944
ablation,fixed_iabc,1,5,10,0.2,0.0,0.8,51587.4,174.3,5761.647220230103,42.14598018208053,0.24063175885384985
ablation,fixed_iabc,1,10,10,0.2,0.0,0.8,103599.4,176.3,11624.276037216187,41.995701787923466,0.23755596767669704
ablation,fixed_iabc,2,5,10,0.5,0.0,0.5,29838.8,134.9,4548.899334621429,28.256012866063976,0.20832845276042794
ablation,fixed_iabc,2,10,10,0.1,0.1,0.8,105142.0,181.2,11818.820444869994,38.366783189820126,0.2114610153955699
ablation,manual_iabc,0,5,10,0.3,0.0,0.7,43537.8,164.1,5481.555619144439,34.72102738642134,0.21089915692777192
ablation,manual_iabc,0,10,10,0.0,0.0,1.0,96878.0,200.0,12495.251522827148,41.736155131692065,0.208677480876795
ablation,manual_iabc,1,5,10,0.2,0.0,0.8,51448.6,174.2,5682.828845405578,42.1618830913445,0.24083103850731535
ablation,manual_iabc,1,10,10,0.2,0.0,0.8,99282.6,176.0,11606.789474868774,41.90042978825513,0.2374489771119425
ablation,manual_iabc,2,5,10,0.5,0.0,0.5,29622.2,134.3,4548.9151062011715,28.188300281739792,0.20869939707917456
ablation,manual_iabc,2,10,10,0.1,0.0,0.9,112047.2,188.5,12196.52614555359,39.97409887360409,0.21182038554727262
ablation,origin_abc,0,5,10,0.3,0.0,0.7,42755.0,164.1,5434.394843673706,23.737093356181866,0.14381561183510927
ablation,origin_abc,0,10,10,0.0,0.0,1.0,92458.0,200.0,12443.9879737854,28.110819934611207,0.1405508308202261
ablation,origin_abc,1,5,10,0.2,0.0,0.8,51522.8,174.3,5659.6585161209105,30.460078807012177,0.1735324563839658
ablation,origin_abc,1,10,10,0.1,0.1,0.8,100312.4,177.0,11604.149182128906,31.0034958160948,0.17455950778313614
ablation,origin_abc,2,5,10,0.5,0.0,0.5,30640.4,135.7,4581.1787123680115,19.36413426999934,0.14122667258367977
ablation,origin_abc,2,10,10,0.1,0.0,0.9,108234.6,189.1,12241.632414245605,27.322504034265876,0.1444676615585353
ablation,ppo_iabc,0,5,10,0.3,0.0,0.7,43552.6,164.0,5471.2480427742,35.954170877742584,0.21852861297512885
ablation,ppo_iabc,0,10,10,0.0,0.0,1.0,95444.6,200.0,12523.115620994568,43.49704206560273,0.21748185391561128
ablation,ppo_iabc,1,5,10,0.2,0.0,0.8,51499.4,175.1,5640.904529953003,43.69261765996926,0.2483834097103192
ablation,ppo_iabc,1,10,10,0.1,0.1,0.8,100127.6,173.6,11428.235538864135,42.9903281211853,0.24668953768408555
ablation,ppo_iabc,2,5,10,0.5,0.0,0.5,29784.0,134.2,4557.016022872925,29.32764012662228,0.217245746406357
ablation,ppo_iabc,2,10,10,0.1,0.1,0.8,106731.8,181.8,11932.705376434325,47.43741859998554,0.2599429688035377
compare,abc,0,5,10,0.3,0.0,0.7,43421.0,163.7,5452.239685153962,34.86456042460632,0.2120082365940963
compare,abc,0,10,10,0.0,0.0,1.0,95039.4,200.0,12424.508724784851,41.731498331972396,0.20865424594201612
compare,abc,1,5,10,0.2,0.0,0.8,51415.2,174.3,5645.252310085297,42.16643995158374,0.2406995111938166
compare,abc,1,10,10,0.2,0.0,0.8,103217.4,176.2,11584.466955184937,42.0241800368065,0.23778873147715177
compare,abc,2,5,10,0.5,0.0,0.5,30604.6,134.5,4570.131335258484,28.231880730926058,0.20873133925271414
compare,abc,2,10,10,0.1,0.0,0.9,112484.2,188.6,12272.621601486206,40.051797221368176,0.21210461440600378
compare,abcl,0,5,10,0.3,0.0,0.7,42817.2,163.7,5427.130279922485,27.35124413499143,0.16518199181875493
compare,abcl,0,10,10,0.0,0.0,1.0,89221.4,200.0,12389.587167739868,31.814186446601525,0.15906760040833615
compare,abcl,1,5,10,0.2,0.0,0.8,51678.0,174.4,5602.564092922211,35.299655828345564,0.2009266494261394
compare,abcl,1,10,10,0.1,0.1,0.8,98492.8,175.7,11469.699695587158,34.89912378040608,0.1967501382302818
compare,abcl,2,5,10,0.5,0.0,0.5,30546.4,134.6,4542.419517612458,22.260338414856232,0.16192177242395794
compare,abcl,2,10,10,0.2,0.0,0.8,98347.8,177.2,11552.842024230957,29.08141421743203,0.16364686733981004
compare,cpso,0,5,10,0.3,0.0,0.7,41775.4,161.8,5398.119233894348,10.347735945368186,0.06401163618394876
compare,cpso,0,10,10,0.0,0.0,1.0,94035.8,200.0,12449.63356628418,12.89014869730454,0.06444544423418119
compare,cpso,1,5,10,0.2,0.0,0.8,52363.0,176.6,5712.469969749451,13.667716604727321,0.07744062491938274
compare,cpso,1,10,10,0.2,0.0,0.8,101562.8,176.0,11572.415628051758,13.723383090924472,0.07800732313784287
compare,cpso,2,5,10,0.5,0.0,0.5,28095.2,131.9,4482.616427993775,8.43903119910974,0.06404467885587925
compare,cpso,2,10,10,0.2,0.0,0.8,104507.4,181.8,11939.120042037965,11.678154768189415,0.0642445122197702
compare,ppo_abc,0,5,10,0.3,0.0,0.7,43482.2,163.8,5459.488223934173,36.51225705430843,0.22168423054942726
compare,ppo_abc,0,10,10,0.0,0.0,1.0,95338.2,200.0,12536.717938613892,43.65843001389876,0.21828861326782495
compare,ppo_abc,1,5,10,0.2,0.0,0.8,51275.2,174.3,5603.756510353089,44.4854514450999,0.25333174328126307
compare,ppo_abc,1,10,10,0.1,0.1,0.8,99509.2,176.1,11546.863417816163,43.795698102214374,0.24789729674936783
compare,ppo_abc,2,5,10,0.5,0.0,0.5,29516.2,134.2,4529.508441066742,29.458899131673387,0.2181040942356814
compare,ppo_abc,2,10,10,0.1,0.0,0.9,111304.2,188.7,12213.016553497315,41.877062004897745,0.22171698662296907
compare,pso,0,5,10,0.3,0.0,0.7,42494.0,163.4,5425.695463085174,9.606156344432383,0.05881482643657053
compare,pso,0,10,10,0.0,0.0,1.0,94221.8,200.0,12471.578928756713,11.835746917175129,0.05917376281740143
compare,pso,1,5,10,0.2,0.0,0.8,52157.0,176.3,5660.375804805755,12.724574896041304,0.07220263853535602
compare,pso,1,10,10,0.1,0.1,0.8,98737.0,173.7,11452.790730285644,12.641939153755084,0.07282029608024825
compare,pso,2,5,10,0.5,0.0,0.5,29769.4,135.6,4607.277945899963,7.966787973511964,0.05878464413399148
compare,pso,2,10,10,0.1,0.0,0.9,110663.6,188.6,12276.069089317321,11.14434763463214,0.05909008923650524
